Depth,Exp
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00066153,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00062863,a
-0.00057652,a
-0.00053886,a
-0.00059868,a
-0.00065419,a
-0.00063103,a
-0.00061566,a
-0.00060584,a
-0.0006257,a
-0.00059046,a
-0.00049439,a
-0.00036146,a
-9.69E-05,a
0.0003055,a
0.00072134,a
0.00093783,a
0.0011232,a
0.0014058,a
0.0017681,a
0.0020234,a
0.0021445,a
0.0023671,a
0.0025806,a
0.0027082,a
0.0028567,a
0.0030845,a
0.003309,a
0.0035442,a
0.0037544,a
0.0038284,a
0.0038843,a
0.0039344,a
0.0039486,a
0.0039314,a
0.0039294,a
0.0039651,a
0.0040211,a
0.0040957,a
0.0041069,a
0.0040901,a
0.0040961,a
0.0040158,a
0.0039551,a
0.0039717,a
0.0039877,a
0.004004,a
0.0039876,a
0.0040006,a
0.0040696,a
0.0040928,a
0.004071,a
0.0040544,a
0.0040149,a
0.0039729,a
0.0039119,a
0.0038392,a
0.0037516,a
0.0037413,a
0.0038187,a
0.0038792,a
0.0039109,a
0.0039255,a
0.0039416,a
0.0040145,a
0.004059,a
0.0040561,a
0.0040923,a
0.0041344,a
0.0040966,a
0.0040237,a
0.0040211,a
0.0040413,a
0.0040599,a
0.0040479,a
0.0039682,a
0.0039136,a
0.0039436,a
0.0039671,a
0.0039689,a
0.0039896,a
0.0040171,a
0.0040205,a
0.0039776,a
0.0039477,a
0.0039965,a
0.004056,a
0.0040661,a
0.0040247,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0.0040014,a
0.0039717,a
0.0039864,a
0.0039933,a
0.0039943,a
0.0040816,a
0.0041139,a
0.0040572,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00057424,a
-0.00056928,a
-0.00055343,a
-0.00055031,a
-0.0005362,a
-0.0004861,a
-0.00046244,a
-0.00047775,a
-0.00057926,a
-0.00050859,a
-0.0003255,a
-0.00017331,a
5.63E-05,a
0.00041791,a
0.00077281,a
0.00094894,a
0.0010825,a
