Depth,Exp
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
-0.00058391,c
0,c
-0.00056551,c
0,c
-0.00049498,c
0,c
-0.00053033,c
-0.00055529,c
-0.00055517,c
0,c
-0.00059906,c
-0.00060601,c
-0.00060315,c
-0.00064576,c
-0.00066142,c
-0.00063715,c
-0.00059734,c
-0.00056555,c
-0.00056127,c
-0.00057048,c
-0.00056574,c
-0.0006169,c
-0.00081699,c
-0.0010247,c
-0.0011051,c
-0.0011202,c
-0.0011841,c
-0.0011928,c
-0.0010558,c
-0.00089822,c
-0.00076001,c
-0.00063567,c
-0.00054154,c
-0.00056085,c
-0.00051567,c
-0.00039253,c
-0.00032599,c
-0.00023399,c
-0.00012226,c
-2.81E-05,c
3.43E-05,c
8.12E-05,c
9.81E-05,c
8.59E-05,c
8.60E-05,c
9.32E-05,c
9.20E-05,c
9.76E-05,c
0.00010849,c
0.000101,c
6.75E-05,c
8.13E-05,c
0.00012671,c
0.00013353,c
0.0001809,c
0.00022132,c
0.00019715,c
0.00022467,c
0.0002355,c
0.00018459,c
0.00015883,c
0.00015151,c
0.00017664,c
0.00017898,c
0.0001414,c
0.00013361,c
0.00011295,c
9.77E-05,c
0.00011045,c
0.00012084,c
0.00015723,c
0.00017678,c
0.00015927,c
0.000139,c
9.96E-05,c
7.69E-05,c
8.64E-05,c
9.18E-05,c
9.01E-05,c
8.66E-05,c
8.01E-05,c
5.59E-05,c
3.14E-05,c
1.29E-05,c
2.30E-05,c
6.92E-05,c
7.00E-05,c
4.60E-05,c
3.65E-05,c
3.64E-05,c
6.84E-05,c
0.00010509,c
0.00011885,c
0.00011742,c
0.00012028,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
7.06E-05,c
0.00013823,c
0.00019327,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
-0.00072598,c
-0.00071706,c
-0.00072381,c
-0.00070453,c
-0.00070322,c
-0.00071931,c
-0.00072886,c
-0.00073995,c
-0.00075518,c
-0.0007577,c
-0.00074906,c
-0.00073858,c
-0.00073332,c
-0.00073885,c
-0.00073033,c
-0.00071289,c
-0.00068956,c
-0.00067012,c
-0.00063635,c
-0.00056153,c
-0.00055788,c
-0.00070804,c
-0.00090699,c
-0.00098398,c
-0.00097504,c
-0.00094277,c
-0.00092082,c
-0.00085763,c
-0.0007256,c
-0.00058845,c
-0.00043345,c
-0.00033674,c
-0.00033408,c
-0.00025269,c
-0.00013977,c
-9.17E-05,c
-2.27E-05,c
8.08E-05,c
0.00020685,c
0.00029012,c
0.00032321,c
0.00038911,c
0.00050721,c
0.00058408,c
0.00059228,c
0.00063997,c
0.00070858,c
0.00075119,c
0.0008011,c
0.0008478,c
0.00088489,c
0.00087917,c
0.00085485,c
0.00087089,c
0.00087627,c
0.0008307,c
0.00079698,c
0.00081134,c
0.00087392,c
0.00088251,c
0.00083906,c
0.0008545,c
0.00081452,c
0.0007333,c
0.00071824,c
0.00065624,c
0.00061467,c
0.00065176,c
0.00070199,c
0.00070537,c
0.00069088,c
0.00070925,c
0.00072608,c
0.00071088,c
0.00071297,c
0.00074506,c
0.00078031,c
0.00082734,c
0.00083997,c
0.00083542,c
0.00083514,c
0.00082306,c
0.00081205,c
0.0008051,c
0.00080149,c
0.00079697,c
0.00079045,c
0.00077061,c
0.00077453,c
0.00081437,c
0.00085144,c
0.00089388,c
0.00091358,c
0.00086491,c
0.00084214,c
0,c
0.00091115,c
0,c
0.00087845,c
0.00087241,c
0.00085037,c
0.00084926,c
0.00087082,c
0.00085782,c
0.00087271,c
0.00087691,c
0.00087441,c
0.0008716,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
