Depth,Exp
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.00068438,b
0,b
0.00070991,b
0.00073533,b
0.00072312,b
0.00071297,b
0.00073869,b
0.00073481,b
0.00068479,b
0.00062831,b
0.00060775,b
0.00061819,b
0.00065959,b
0.00066421,b
0.00067887,b
0.00073097,b
0.00073803,b
0.00066132,b
0.00069132,b
0.00082637,b
0.0009444,b
0.0011412,b
0.0013295,b
0.0014896,b
0.0016187,b
0.0017036,b
0.001842,b
0.0019622,b
0.0020304,b
0.0021376,b
0.0022351,b
0.0022736,b
0.0022379,b
0.0021917,b
0.0022022,b
0.0021843,b
0.0021202,b
0.0021204,b
0.002156,b
0.0021912,b
0.0021976,b
0.0021965,b
0.0022015,b
0.0021384,b
0.0020862,b
0.0020953,b
0.0021714,b
0.0022366,b
0.0022251,b
0.0022062,b
0.0022028,b
0.002235,b
0.0022481,b
0.002246,b
0.0022496,b
0.002236,b
0.0022297,b
0.0022373,b
0.0022445,b
0.0022402,b
0.0022038,b
0.0021213,b
0.0020991,b
0.0020949,b
0.0020884,b
0.002136,b
0.0021781,b
0.0021817,b
0.0021703,b
0.0022412,b
0.0022847,b
0.0022004,b
0.0021956,b
0.0022543,b
0.0022454,b
0.0022023,b
0.0021511,b
0.0021397,b
0.0021037,b
0.0020829,b
0.0020935,b
0.0020825,b
0.0020548,b
0.0020685,b
0.0021073,b
0.002039,b
0.0019631,b
0.0019655,b
0.0019905,b
0.002036,b
0.0020883,b
0.00211,b
0.0021251,b
0.0021568,b
0.0021854,b
0.0022209,b
0,b
0.0023148,b
0,b
0.0022947,b
0,b
0,b
0,b
0.0021861,b
0.0021473,b
0.0021964,b
0.0022306,b
0.0022213,b
0.0022164,b
0.0022235,b
0.002218,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.0008569,b
0.00080169,b
0.0007653,b
0.00074857,b
0.00073029,b
0.00074473,b
0.00073097,b
0.0008283,b
0.00098309,b
0.0010749,b
0.0012151,b
0.0013563,b
0.0014771,b
0.0015533,b
0.0016158,b
0.0016992,b
0.0017697,b
0.001875,b
0.0020045,b
0.0021034,b
0.0021778,b
0.0022034,b
0.0021482,b
0.0020842,b
0.0020481,b
0.0020262,b
0.0020133,b
0.0020359,b
0.0020509,b
0.0020672,b
0.0020596,b
0.0020564,b
0.0020554,b
0.0020197,b
0.0019876,b
0.0020002,b
0.0020686,b
0.0020913,b
0.0020741,b
0.0020243,b
0.0019969,b
0.0020469,b
0.002101,b
0.0021342,b
0.0021648,b
0.0021586,b
0.0021199,b
0.0021443,b
0.0021688,b
0.0021696,b
0.0021166,b
0.0020655,b
0.0020838,b
0.0020851,b
0.0020598,b
0.0020223,b
0.0020003,b
0.0020221,b
0.0020206,b
0.0019905,b
0.0020135,b
0.0020763,b
0.0021018,b
0.0020501,b
0.0020002,b
0.0019693,b
0.0019968,b
0.0020729,b
0.0021232,b
0.0021636,b
0.0021786,b
0.0021607,b
0.0021274,b
0.0020703,b
0.002038,b
0.0020755,b
0.0021032,b
0.002102,b
0.0021207,b
0.0021334,b
0.0021512,b
0.0021725,b
0.0020811,b
0.0019826,b
0.0020002,b
0.002028,b
0.0020517,b
0.0020685,b
0.0020781,b
0.0020719,b
0.0020313,b
0.0019994,b
0.0020138,b
0.0020468,b
0.0020735,b
0.002109,b
0.0021239,b
0.0021394,b
0.0021701,b
0.0021641,b
0.0021374,b
0.0021166,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.0005904,b
0.00059484,b
0.00061629,b
0.00066191,b
0.00070093,b
0.00071152,b
0,b
0,b
